source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Astrocyte_2,Astrocyte,APOE,SORL1,6.4062696,0.0,40.318684,1.475940271146296,3.4878122930026865,0.113924205,0.92323065,0.002576994457854642,1.1404872370611382e-05
Hippocampal dentate gyrus,CGE interneuron,SLIT3,ROBO2,6.3542404,0.0,39.466454,0.7205766310149972,1.3453794721724837,0.04336198,0.9224701,0.04980881122022735,4.558521488395723e-05
Hippocampal dentate gyrus,MGE interneuron,SLIT3,ROBO2,6.3101215,0.0,38.989937,0.7076415625203804,1.7287956957933286,0.04283843,0.9220346,0.054161423992812784,0.0001024896156423051
Hippocampal dentate gyrus,Hippocampal CA1-3,SLIT3,ROBO2,6.293184,0.0,38.807,0.7026736812242074,1.1515172384374184,0.042637438,0.92186546,0.05757873709642362,0.00018206666274792253
Hippocampal CA1-3,CGE interneuron,SLIT2,ROBO2,6.2616267,0.0,38.112785,0.6332869582976803,0.8711267241035787,0.036744572,0.92121285,0.09937914045765504,0.00028426492083824664
Hippocampal CA1-3,CGE interneuron,SLIT3,ROBO2,6.250843,0.0,37.95517,0.6865618457261673,0.9731583322957564,0.04170152,0.92106235,0.0660736864319443,0.00040903304841003634
Hippocampal CA1-3,MGE interneuron,SLIT2,ROBO2,6.2175074,0.0,37.652615,0.6203518898030635,1.2545429477244237,0.036300916,0.9207708,0.10605421127996296,0.0005563195303947121
Hippocampal CA1-3,MGE interneuron,SLIT3,ROBO2,6.206724,0.0,37.4969,0.6736267772315504,1.3565745559166014,0.04119802,0.92061955,0.06994228943570543,0.0007260730766884391
Hippocampal CA1-3,Hippocampal CA1-3,SLIT2,ROBO2,6.20057,0.0,37.475952,0.6153840085068905,0.6772644903685134,0.0361306,0.9205991,0.11817595395266588,0.0009182420509283326
Hippocampal CA1-3,Hippocampal CA1-3,SLIT3,ROBO2,6.1897864,0.0,37.32097,0.6686588959353774,0.7792960985606912,0.041004725,0.9204476,0.11300056398569815,0.0011327753590734291
Upper-layer intratelencephalic,MGE interneuron,CNTN4,PTPRG,6.0555034,0.0,36.66294,0.513147989831827,0.6025366292119401,0.028186645,0.9197938,0.11817595395266588,0.001369621439529416
Upper-layer intratelencephalic,Hippocampal CA1-3,CNTN4,PTPRG,6.0552626,0.0,36.660065,0.5130495573568727,0.664218434625079,0.028184434,0.9197909,0.11817595395266588,0.0016287288803666735
CGE interneuron,MGE interneuron,CNTN4,PTPRG,6.052232,0.0,36.622807,0.5120891467770821,0.8185832032149447,0.028155789,0.9197534,0.11817595395266588,0.0019100460278322962
CGE interneuron,Hippocampal CA1-3,CNTN4,PTPRG,6.0519915,0.0,36.619934,0.5119907143021276,0.8802650086280837,0.028153582,0.9197506,0.11817595395266588,0.0022135219353390627
MGE interneuron,MGE interneuron,CNTN4,PTPRG,6.028387,0.0,36.330273,0.504392693386621,0.7106475948193367,0.02793089,0.91945696,0.11817595395266588,0.0025391046890916712
MGE interneuron,Hippocampal CA1-3,CNTN4,PTPRG,6.0281467,0.0,36.327423,0.5042942609116667,0.7723294002324756,0.027928699,0.9194541,0.11817595395266588,0.002886743712327748
Deep-layer intratelencephalic,Hippocampal CA1-3,EFNA5,EPHA6,5.9824505,0.0,35.64907,0.6130427862940888,1.032313802109699,0.03243858,0.91875327,0.11817595395266588,0.003647982026581345
Deep-layer intratelencephalic,MGE interneuron,CNTN4,PTPRG,5.9720564,0.0,35.639194,0.48620688402782863,0.6108391370667396,0.027399583,0.91874295,0.11817595395266588,0.004061479752793849
Hippocampal dentate gyrus,Deep-layer intratelencephalic,SLIT3,ROBO2,5.9827595,0.0,35.454205,0.6116582309653403,1.0403842858989707,0.038953703,0.9185485,0.08239154461103235,0.004496826842057258
Deep-layer intratelencephalic,Hippocampal CA1-3,CNTN4,PTPRG,5.9718156,0.0,35.6364,0.4861084515528743,0.6725209424798786,0.027397433,0.91874003,0.11817595395266588,0.004496826842057258
Upper-layer intratelencephalic,Upper-layer intratelencephalic,CNTN4,PTPRG,5.9457636,0.0,35.35113,0.4698384771783416,0.3680536987425844,0.02717812,0.9184395,0.11817595395266588,0.0049539733225394435
CGE interneuron,Upper-layer intratelencephalic,CNTN4,PTPRG,5.9424915,0.0,35.31243,0.4687796341235966,0.5841002727455891,0.027148368,0.9183985,0.11817595395266588,0.005432866270102103
MGE interneuron,Upper-layer intratelencephalic,CNTN4,PTPRG,5.918647,0.0,35.030365,0.4610831807331356,0.47616466434998106,0.026931515,0.91809744,0.11817595395266588,0.00593345501106225
Deep-layer intratelencephalic,Hippocampal dentate gyrus,EFNA5,EPHA6,5.899579,0.0,34.719677,0.5863985309376509,0.8506386167189133,0.031592883,0.9177619,0.11817595395266588,0.006455689015278916
Upper-layer intratelencephalic,Hippocampal CA1-3,EFNA5,EPHA6,5.891421,0.0,34.491634,0.5809910721302634,0.931661772380834,0.03138538,0.91751283,0.11817595395266588,0.008151741649685804
Upper-layer intratelencephalic,Deep-layer intratelencephalic,CNTN4,PTPRG,5.888056,0.0,34.661304,0.4470650504458099,0.33685077694949506,0.026647778,0.91769844,0.11817595395266588,0.008760038251437965
CGE interneuron,Deep-layer intratelencephalic,CNTN4,PTPRG,5.8847837,0.0,34.62336,0.4460062073910649,0.5528973509524997,0.026618607,0.917657,0.11817595395266588,0.009389722175605145
Hippocampal CA1-3,Deep-layer intratelencephalic,SLIT2,ROBO2,5.890146,0.0,34.23815,0.5243685582480235,0.5661315378300658,0.033009034,0.9172333,0.11817595395266588,0.01004074201038527
Hippocampal CA1-3,Hippocampal dentate gyrus,SERPINF1,PLXDC1,0.46962965,1.0,0.22025877,-0.10055335324447975,-0.8969966181654314,0.009462781,0.4705815,1.0,0.010123726223855798
Hippocampal CA1-3,Deep-layer intratelencephalic,SLIT3,ROBO2,5.879362,0.0,34.096558,0.5776434456765104,0.6681631460222435,0.037462052,0.91707593,0.11817595395266588,0.010713048603147816
Deep-layer intratelencephalic,Upper-layer intratelencephalic,CNTN4,PTPRG,5.862316,0.0,34.364014,0.44289737137434315,0.376356206597384,0.026419219,0.9173725,0.11817595395266588,0.011406586093902929
Astrocyte,Hippocampal dentate gyrus,C3,GRM7,5.8931494,0.0,34.019077,1.399669400116976,4.793563804637887,0.16570932,0.9169893,0.000601310733176072,0.011406586093902929
MGE interneuron,Deep-layer intratelencephalic,CNTN4,PTPRG,5.860939,0.0,34.346798,0.4383097540006039,0.4449617425568917,0.026405986,0.9173535,0.11817595395266588,0.01212130525969472
Upper-layer intratelencephalic,Hippocampal dentate gyrus,EFNA5,EPHA6,5.808549,0.0,33.592415,0.5543468167738255,0.7499865869900484,0.030567141,0.9165077,0.11817595395266588,0.013614082969180069
Deep-layer intratelencephalic,Deep-layer intratelencephalic,CNTN4,PTPRG,5.8046083,0.0,33.693447,0.42012394464181146,0.34515328480429464,0.025903687,0.9166226,0.11817595395266588,0.0151909731147397
Upper-layer intratelencephalic,CGE interneuron,CNTN4,PTPRG,5.7853656,0.0,33.433773,0.40654080730794834,0.31814163567974685,0.025704045,0.9163264,0.13987272171387627,0.016851559184951972
CGE interneuron,CGE interneuron,CNTN4,PTPRG,5.782094,0.0,33.39717,0.4054819642532033,0.5341882096827515,0.025675906,0.91628444,0.11817595395266588,0.017713110614337352
Astrocyte,Hippocampal CA1-3,C3,GRM7,5.7770214,0.0,32.846077,1.3614888384135986,4.553173848268617,0.15999554,0.91564405,0.0006628935170425493,0.01949847622418235
CGE interneuron,Hippocampal dentate gyrus,SERPINF1,PLXDC1,0.54418445,1.0,0.28773165,-0.045838730396609705,-0.3615396779166131,0.012361559,0.50395054,1.0,0.02022465127161999
Upper-layer intratelencephalic,CGE interneuron,SLIT2,ROBO2,5.863768,0.0,32.297573,0.5000721738095616,0.45454148374831593,0.031138122,0.9149914,0.11817595395266588,0.02042218462779623
MGE interneuron,CGE interneuron,CNTN4,PTPRG,5.7582493,0.0,33.1304,0.39778551086274233,0.4262526012871435,0.025470814,0.91597635,0.11817595395266588,0.02136650917628392
Hippocampal dentate gyrus,Upper-layer intratelencephalic,SLIT3,ROBO2,5.745753,0.0,32.894367,0.5421657605486189,0.8832870105933681,0.0361412,0.9157008,0.10949325600203881,0.023316801060672444
Upper-layer intratelencephalic,MGE interneuron,SLIT2,ROBO2,5.8196487,0.0,31.907616,0.4871371053149448,0.8379577073691609,0.030762162,0.9145178,0.11817595395266588,0.023316801060672444
Astrocyte,Upper-layer intratelencephalic,C3,GRM7,5.7151656,0.0,32.22128,1.3411532997207345,4.469267404327728,0.15695213,0.9148994,0.0007982639673499237,0.0263955781747032
Upper-layer intratelencephalic,Hippocampal CA1-3,SLIT2,ROBO2,5.8027115,0.0,31.757908,0.4821692240187717,0.26067925001325065,0.030617831,0.9143337,0.18535187870501996,0.027462520011684276
Upper-layer intratelencephalic,Astrocyte_2,CNTN4,PTPRG,5.709694,0.0,32.52921,0.3766759203105299,0.33276542551435107,0.025008613,0.91526896,0.1355526558158891,0.027462520011684276
CGE interneuron,Astrocyte_2,CNTN4,PTPRG,5.706423,0.0,32.4936,0.37561707725578486,0.5488119995173557,0.024981238,0.91522646,0.13987272171387627,0.02854971811075463
Deep-layer intratelencephalic,CGE interneuron,CNTN4,PTPRG,5.7019186,0.0,32.50019,0.37959970150394995,0.3264441435345464,0.024986304,0.91523427,0.13698139347584673,0.02965712106011218
CGE interneuron,Astrocyte,LGALS1,CD69,0.5498617,0.0,0.28999978,0.3738510669885676,3.0676423273029316,0.11822447,0.5049319,0.06781121241227332,0.030302800849241456
MGE interneuron,Astrocyte_2,CNTN4,PTPRG,5.682578,0.0,32.23405,0.36792062386532387,0.4408763911217477,0.024781695,0.91491485,0.14882180112861168,0.03078468121125659
Hippocampal CA1-3,Upper-layer intratelencephalic,SLIT2,ROBO2,5.653139,0.0,31.766117,0.45487608783130196,0.4090342625244632,0.030625744,0.91434383,0.11817595395266588,0.03193233969219601
MGE interneuron,CGE interneuron,SLIT2,ROBO2,5.8069234,0.0,31.466717,0.48103880248724773,1.0842800870472518,0.030337092,0.9139723,0.11817595395266588,0.03310004878784638
Upper-layer intratelencephalic,Hippocampal dentate gyrus,CNTN4,PTPRG,5.651163,0.0,31.829546,0.3535788248945787,0.11525614825277142,0.02447071,0.9144219,0.3862148104413456,0.03310004878784638
CGE interneuron,Hippocampal dentate gyrus,CNTN4,PTPRG,5.647892,0.0,31.7947,0.3525199818398337,0.33130272225577606,0.02444392,0.91437906,0.16141370883861045,0.03428775708640558
MGE interneuron,MGE interneuron,SLIT2,ROBO2,5.762804,0.0,31.086788,0.46810373399263083,1.4676963106680967,0.029970802,0.9134936,0.11817595395266588,0.035495413176071605
Hippocampal CA1-3,Upper-layer intratelencephalic,SLIT3,ROBO2,5.6423554,0.0,31.634748,0.5081509752597889,0.5110658707166409,0.03475725,0.9141815,0.11817595395266588,0.035495413176071605
Hippocampal dentate gyrus,CGE interneuron,SLIT2,ROBO2,5.7785435,0.0,31.051912,0.47153784126286313,0.41406045095020083,0.029937178,0.91344917,0.11817595395266588,0.036722965645042356
Deep-layer intratelencephalic,Astrocyte_2,CNTN4,PTPRG,5.626247,0.0,31.62089,0.34973481450653154,0.34106793336915064,0.024310293,0.91416425,0.16800118326280394,0.036722965645042356
MGE interneuron,Hippocampal CA1-3,SLIT2,ROBO2,5.745867,0.0,30.940933,0.46313585269645785,0.8904178533121865,0.029830184,0.91330755,0.11817595395266588,0.03797036308151576
MGE interneuron,Hippocampal dentate gyrus,CNTN4,PTPRG,5.6240473,0.0,31.540733,0.3448235284493727,0.22336711386016805,0.02424867,0.9140646,0.20790816942410464,0.03797036308151576
Deep-layer intratelencephalic,MGE interneuron,EFNA5,EPHA6,5.618302,0.0,31.565197,0.49596791752438607,0.8961927894163715,0.02872249,0.9140951,0.11817595395266588,0.039237554073689764
Upper-layer intratelencephalic,Hippocampal dentate gyrus,SERPINF1,PLXDC1,0.57177913,1.0,0.3127052,-0.02558749921785848,-0.5685266136487541,0.013434474,0.5143507,1.0,0.04035820066266905
Hippocampal dentate gyrus,MGE interneuron,SLIT2,ROBO2,5.7344246,0.0,30.676992,0.4586027727682463,0.7974766745710458,0.029575717,0.91296786,0.11817595395266588,0.04052448720976231
Hippocampal dentate gyrus,Hippocampal dentate gyrus,SLIT3,ROBO2,5.6045337,0.0,31.369104,0.5007607312484914,0.6027581925698069,0.034465387,0.9138501,0.11817595395266588,0.04052448720976231
Deep-layer intratelencephalic,Hippocampal dentate gyrus,CNTN4,PTPRG,5.567716,0.0,30.940762,0.3266377190905803,0.123558656107571,0.023787407,0.91330737,0.367826965827142,0.041831119787736154
Astrocyte,CGE interneuron,C3,GRM7,5.558149,0.0,30.635265,1.2895296366806708,4.4905015798704095,0.14922655,0.91291374,0.0008722961876649713,0.044503234332347194
Hippocampal dentate gyrus,Hippocampal CA1-3,SLIT2,ROBO2,5.7174873,0.0,30.533058,0.45363489147207325,0.22019821721513555,0.029436952,0.9127808,0.2138551081622858,0.045868622055078925
Astrocyte,Deep-layer intratelencephalic,C3,GRM7,5.553857,0.0,30.59191,1.28811832234591,4.35548788441221,0.14901535,0.9128574,0.0009507220020533335,0.045868622055078925
Upper-layer intratelencephalic,MGE interneuron,EFNA5,EPHA6,5.527272,0.0,30.540354,0.4639162033605607,0.7955407596875066,0.027789943,0.91279024,0.11817595395266588,0.048657801342384496
