UMAP1,UMAP2,cell_type,anatomical_division_label
-2.9189863,12.621462,Pericyte,Basal nuclei
12.308954,3.1241431,Astrocyte,Hippocampus
-0.34687296,-9.529133,Unknown,Hippocampus
3.7424448,-8.803902,Unknown,Cerebellum
-3.130239,1.894475,Endothelial,Pons
2.1713142,0.5561486,Oligodendrocyte,Cerebral cortex
0.5960302,-8.414624,Unknown,Cerebral cortex
-3.020827,12.917931,Pericyte,Basal nuclei
-1.9989524,5.581872,Activated Microglia,Midbrain
4.1186,4.960811,Activated Microglia,Thalamus
3.0185347,-8.839519,Unknown,Cerebral cortex
-1.832919,2.951389,Endothelial,Midbrain
-0.14701802,-9.59761,Unknown,Basal forebrain
5.114269,13.041435,Astrocyte_2,Hippocampus
6.24046,13.335397,Astrocyte_2,Cerebral cortex
-0.6059673,7.2792683,Activated Microglia,Thalamus
-4.502049,5.2176447,Activated Microglia,Myelencephalon
2.0783114,0.4540611,Oligodendrocyte,Cerebral cortex
2.429163,-2.2006912,Oligodendrocyte,Pons
4.8601246,14.925074,Astrocyte_2,Amygdaloid complex
2.762964,-8.497707,Unknown,Thalamus
-0.027542029,2.773875,Endothelial,Hippocampus
1.2825584,3.6873944,Activated Microglia,Cerebral cortex
0.47259107,-9.6240015,Unknown,Hippocampus
-0.3786547,2.3112743,Endothelial,Hippocampus
-0.5277487,12.922497,Pericyte,Midbrain
-0.85284615,5.978128,Activated Microglia,Midbrain
1.4106764,6.805755,Activated Microglia,Thalamus
2.1788085,5.2566805,Activated Microglia,Hippocampus
0.95839316,6.5824094,Activated Microglia,Thalamus
-0.47896963,1.734485,Activated Microglia,Thalamus
14.129093,2.8869016,Astrocyte,Hypothalamus
-0.08733281,-9.079056,Unknown,Amygdaloid complex
1.1014183,-9.789344,Unknown,Cerebral cortex
-0.5953019,1.7652172,Endothelial,Cerebral cortex
4.9912014,14.795175,Astrocyte_2,Amygdaloid complex
-4.0369,5.286469,Activated Microglia,Spinal cord
12.369022,0.23343554,Astrocyte,Hippocampus
4.81828,12.675168,Astrocyte_2,Cerebral cortex
2.0728066,4.8295593,Activated Microglia,Amygdaloid complex
-1.7438775,15.369468,Pericyte,Myelencephalon
0.28870293,4.6885986,Activated Microglia,Spinal cord
-0.39279747,-0.790299,Oligodendrocyte,Pons
-3.848246,5.4898896,Activated Microglia,Midbrain
11.403339,12.336621,Border Macrophage,Myelencephalon
-4.5739923,4.2751846,Activated Microglia,Myelencephalon
13.50733,2.820138,Astrocyte,Thalamus
-1.6204706,4.290498,Activated Microglia,Midbrain
-2.7451813,6.032056,Activated Microglia,Midbrain
0.37218586,2.3733778,Activated Microglia,Hippocampus
12.443062,3.0022173,Astrocyte,Pons
4.109841,-7.861711,Unknown,Midbrain
0.33828533,-10.43581,Unknown,Cerebral cortex
-2.7824442,0.91771984,Endothelial,Pons
-1.0575925,1.3159277,Endothelial,Cerebellum
5.8791327,13.792552,Astrocyte_2,Hippocampus
-0.5196356,-8.978204,Unknown,Cerebral cortex
-0.83761144,-0.8522455,Oligodendrocyte,Thalamus
-0.5162178,4.8990154,Activated Microglia,Hippocampus
0.6034821,5.264155,Activated Microglia,Thalamus
2.879124,0.6834953,Oligodendrocyte,Cerebral cortex
-1.5658215,1.5506407,Endothelial,Thalamus
2.8103034,15.56731,Astrocyte_2,Hippocampus
2.0785763,1.6496522,Activated Microglia,Hippocampus
3.796318,12.2510805,Astrocyte_2,Cerebral cortex
2.5007493,0.7159515,Oligodendrocyte,Cerebral cortex
-2.2625337,1.3800292,Endothelial,Cerebral cortex
2.082099,-7.4205294,Unknown,Pons
5.15319,12.005425,Astrocyte_2,Cerebral cortex
0.17903237,-7.742222,Unknown,Cerebral cortex
2.7556446,-8.225224,Unknown,Cerebellum
-1.1693361,11.617038,Pericyte,Thalamus
0.5088662,14.560364,Pericyte,Midbrain
0.21403523,-0.6741102,Oligodendrocyte,Basal forebrain
3.302909,-8.4201765,Unknown,Spinal cord
2.9821424,4.725852,Activated Microglia,Basal forebrain
-0.411579,14.92641,Pericyte,Cerebellum
-0.037302174,2.2727406,Endothelial,Cerebral cortex
1.3633618,5.7423177,Activated Microglia,Thalamus
13.677148,1.4605241,Astrocyte,Midbrain
-3.0717788,5.201768,Activated Microglia,Midbrain
-0.52367353,5.542392,Activated Microglia,Hippocampus
2.6773424,5.355768,Activated Microglia,Basal forebrain
1.3252531,1.3217791,Oligodendrocyte,Thalamus
12.962461,3.0866187,Astrocyte,Cerebral cortex
0.55306184,3.64999,Activated Microglia,Cerebral cortex
13.706956,3.930619,Astrocyte,Basal forebrain
11.026289,0.5048367,Astrocyte,Pons
-0.9884855,0.79127944,Endothelial,Cerebral cortex
-2.7304475,1.4569385,Endothelial,Pons
2.2133846,-8.857243,Unknown,Midbrain
1.3904686,4.792876,Activated Microglia,Spinal cord
4.479462,5.5280623,Activated Microglia,Basal forebrain
-1.37962,3.3935785,Activated Microglia,Claustrum
-3.0025778,2.263875,Endothelial,Pons
4.463112,3.2280495,Oligodendrocyte,Basal nuclei
1.6446192,-9.233591,Unknown,Cerebral cortex
0.3317929,7.2194557,Activated Microglia,Thalamus
0.57236314,-8.711594,Unknown,Basal nuclei
-1.191076,6.4801054,Activated Microglia,Hippocampus
1.1294426,3.355595,Activated Microglia,Cerebral cortex
0.8520475,-0.28858545,Oligodendrocyte,Cerebral cortex
9.017119,7.038691,Fibroblast,Pons
-3.4059494,4.1693196,Activated Microglia,Spinal cord
3.5106807,-1.2109401,Oligodendrocyte,Cerebral cortex
9.048218,9.666652,Choroid Plexus,Thalamus
2.5627992,5.4035406,Activated Microglia,Midbrain
2.3948255,14.109388,Astrocyte_2,Hippocampus
1.227917,3.8297825,Endothelial,Cerebral cortex
-1.7261069,0.4317621,Endothelial,Pons
4.809781,15.582468,Astrocyte_2,Cerebral cortex
2.6508238,-0.31741846,Oligodendrocyte,Pons
1.8857691,1.1465609,Oligodendrocyte,Midbrain
0.62148535,-8.710063,Unknown,Hippocampus
1.3702571,1.5145483,Activated Microglia,Basal nuclei
-0.19421977,12.541215,Pericyte,Hypothalamus
12.037612,8.535228,Fibroblast,Midbrain
8.1778145,10.116208,Choroid Plexus,Thalamus
1.309855,3.4946887,Endothelial,Hippocampus
13.551196,3.2566495,Astrocyte,Midbrain
2.4934266,2.133072,Activated Microglia,Thalamus
2.9565856,20.635895,Ependymal,Cerebellum
0.09843001,-9.224354,Unknown,Cerebral cortex
-0.012088153,2.7632122,Activated Microglia,Basal nuclei
-0.6059449,3.2257695,Activated Microglia,Hippocampus
1.5942265,6.021713,Activated Microglia,Cerebral cortex
12.387639,12.887826,Border Macrophage,Hippocampus
12.022297,3.709571,Astrocyte,Midbrain
0.8009814,6.892877,Activated Microglia,Thalamus
1.5795217,3.3685443,Endothelial,Basal nuclei
1.9859661,4.449498,Activated Microglia,Midbrain
13.5810995,4.1333313,Astrocyte,Hypothalamus
-0.4158944,2.3825011,Endothelial,Midbrain
-3.3083143,4.0991497,Activated Microglia,Pons
4.3587017,14.932569,Astrocyte_2,Amygdaloid complex
12.467658,2.0282907,Astrocyte,Cerebellum
11.362857,8.75593,Fibroblast,Thalamus
-3.976639,5.85925,Activated Microglia,Midbrain
-1.2377775,5.252645,Activated Microglia,Midbrain
1.0779122,-9.092169,Unknown,Cerebral cortex
12.83075,2.2139666,Astrocyte,Cerebral cortex
3.4124525,0.11288122,Oligodendrocyte,Basal nuclei
5.132136,11.359302,Astrocyte_2,Cerebral cortex
2.692628,6.3855753,Activated Microglia,Thalamus
2.5902812,3.9966373,Activated Microglia,Hippocampus
2.0670478,-9.958164,Unknown,Cerebral cortex
13.263559,1.5414116,Astrocyte,Midbrain
2.0122476,4.5975623,Activated Microglia,Thalamus
2.4525611,1.3755152,Oligodendrocyte,Hippocampus
2.0742989,1.2822104,Oligodendrocyte,Thalamus
